LONGITUDE,LATITUDE,ALTITUDE,FLOOR,BUILDINGID,AP,ERROR_3D,ERROR_2D
-7506.66796875,4864892.0,6.6416707038879395,2.0,1.0,36.0,9.982797871506929,9.539540178292174
-7372.9111328125,4864844.5,14.89353084564209,4.0,2.0,144.0,11.945680882982943,11.945314719126392
-7370.2783203125,4864841.5,14.779183387756348,4.0,2.0,143.0,6.444333562957821,6.4442999417562286
-7370.15869140625,4864841.5,14.715484619140625,4.0,2.0,143.0,4.533867836278451,4.533080046418597
-7639.0146484375,4864913.0,6.854526996612549,2.0,0.0,28.0,9.737329940821697,9.722039579172579
-7336.9033203125,4864829.5,7.153037071228027,2.0,2.0,495.0,4.466764384594149,4.459931992675574
-7372.35107421875,4864841.0,10.836599349975586,3.0,2.0,10.0,10.786209884640817,10.78299326592992
-7355.4013671875,4864781.5,13.025967597961426,4.0,2.0,63.0,27.090952657214377,27.022404864982565
-7355.76123046875,4864764.5,7.102801322937012,2.0,2.0,61.0,2.2443466352291783,2.224581930479645
-7348.6982421875,4864831.5,-0.09850888699293137,0.0,2.0,95.0,3.6782933692333244,3.676974042515021
-7353.654296875,4864760.5,7.634634971618652,2.0,2.0,61.0,11.351001719089073,11.348576406618436
-7369.712890625,4864844.0,0.0754203200340271,0.0,2.0,203.0,2.9817916950976437,2.980837715857615
-7374.2080078125,4864845.0,0.07005626708269119,0.0,2.0,202.0,5.069433155925044,5.068949066802169
-7343.72314453125,4864770.0,7.709698677062988,2.0,2.0,60.0,12.996562426829481,12.992871955187631
-7379.5810546875,4864846.0,0.0793001651763916,0.0,2.0,203.0,8.709573408813105,8.709212389608336
-7361.92822265625,4864840.5,3.586697578430176,1.0,2.0,120.0,31.731633999993278,31.731431717947988
-7560.98486328125,4864883.5,-0.0007739663124084473,3.0,1.0,181.0,11.868704150240342,4.199875659441957
-7406.94970703125,4864786.0,15.060555458068848,4.0,2.0,84.0,7.899416890206995,7.895118622196761
-7401.6533203125,4864798.0,3.6590123176574707,1.0,2.0,69.0,8.43725040430788,8.437150845806283
-7368.470703125,4864842.5,3.602067232131958,1.0,2.0,120.0,11.551452855166277,11.55103771260863
-7557.71142578125,4864875.0,10.530130386352539,3.0,1.0,183.0,4.082278147958477,4.042306705427062
-7592.96923828125,4864985.0,0.19362936913967133,0.0,0.0,56.0,7.023282465535058,6.085380973261439
-7407.466796875,4864791.0,14.864874839782715,4.0,2.0,83.0,3.8607986317734904,3.8602535318638367
-7382.43359375,4864792.5,13.502774238586426,4.0,2.0,83.0,30.92277980840272,30.895558198596834
-7564.732421875,4864871.5,3.6620595455169678,1.0,1.0,123.0,6.210987125819326,6.210871243151562
-7563.83203125,4864871.5,3.6236732006073,1.0,1.0,123.0,5.653847073815616,5.653331845362332
-7378.6044921875,4864847.0,3.635740041732788,1.0,2.0,121.0,11.573033914879701,11.572855509886889
-7393.1259765625,4864838.0,3.838815927505493,1.0,2.0,121.0,9.976922344591006,9.975956576101867
-7674.97216796875,4864933.5,7.31007194519043,2.0,0.0,41.0,0.7071858260295614,0.7014447501373717
-7647.0927734375,4864929.0,6.877354621887207,2.0,0.0,154.0,13.219726193298923,13.209390691266988
-7641.169921875,4865010.5,4.327803611755371,1.0,0.0,32.0,5.736771347396721,5.702316030998186
-7533.2177734375,4864926.0,8.035662651062012,2.0,1.0,90.0,9.094344391088065,9.07210190075926
-7532.39697265625,4864935.5,7.427295684814453,2.0,1.0,172.0,7.529028478695392,7.528978999744703
-7533.49462890625,4864933.5,7.349128723144531,2.0,1.0,171.0,4.15006425638426,4.149752455907381
-7529.22412109375,4864940.5,7.5009846687316895,2.0,1.0,172.0,12.65080730260188,12.650404242720713
-7434.56298828125,4864869.5,7.431400299072266,2.0,1.0,114.0,11.722971627801412,11.722929574447466
-7457.25732421875,4864828.5,10.602010726928711,3.0,1.0,163.0,2.988499206307484,2.9467158312274346
-7468.81640625,4864813.5,10.58938980102539,3.0,1.0,185.0,8.755509823692021,8.740608073668023
-7462.19921875,4864815.0,10.972394943237305,3.0,1.0,186.0,2.2253016114471187,2.2216399823998785
-7458.86669921875,4864816.0,10.695945739746094,3.0,1.0,186.0,9.90695798804959,9.898714903044247
-7426.142578125,4864883.0,11.102839469909668,3.0,1.0,175.0,5.986066626089542,5.98606595264316
-7425.68212890625,4864884.5,10.913679122924805,3.0,1.0,176.0,11.909028010883464,11.90757039428165
-7537.595703125,4864921.0,11.12205696105957,3.0,1.0,167.0,1.7847109983589036,1.7845746939066605
-7536.35595703125,4864922.0,11.026093482971191,3.0,1.0,167.0,3.318391271535151,3.3175681541968878
-7537.19287109375,4864914.5,10.849159240722656,3.0,1.0,168.0,9.523207876185204,9.519903737250765
-7525.98681640625,4864945.0,10.848057746887207,3.0,1.0,191.0,6.957577416955379,6.953014354510132
-7552.91796875,4864887.5,11.022157669067383,3.0,1.0,182.0,3.039940279863688,3.0389434803320534
-7363.8505859375,4864842.0,11.028069496154785,3.0,2.0,11.0,2.3070179333594925,2.3058963002396435
-7324.12451171875,4864815.5,10.974506378173828,3.0,2.0,127.0,17.063290034051303,17.06282855030301
-7320.7587890625,4864815.0,10.912413597106934,3.0,2.0,127.0,5.007782022304836,5.004267391374001
-7682.884765625,4864932.0,-0.07567204535007477,0.0,0.0,80.0,3.018627664757919,3.0176790286566897
-7643.5029296875,4864950.0,3.2849643230438232,1.0,0.0,25.0,2.0991134660235438,2.0576741068728315
-7637.96435546875,4864910.0,0.3179306089878082,0.0,0.0,52.0,3.321408015983475,3.306156580760797
-7637.37109375,4864961.0,0.2410743236541748,0.0,0.0,70.0,5.965730706488348,5.9608578269249675
-7600.94677734375,4864981.0,-0.08976172655820847,0.0,0.0,56.0,6.966130218363962,6.965551884211963
-7596.60693359375,4864983.0,0.07891607284545898,0.0,0.0,57.0,3.8579559340709144,3.857148719284704
-7599.904296875,4864983.0,0.10850987583398819,0.0,0.0,57.0,11.265350687097229,11.2648280816943
-7602.1044921875,4864982.0,0.6280859708786011,0.0,0.0,56.0,9.118831031512865,9.09717469297295
-7604.8623046875,4864982.0,0.10041109472513199,0.0,0.0,57.0,10.671338298686331,10.670865883191757
-7591.0,4864984.0,3.259997606277466,1.0,0.0,27.0,5.256732008200308,5.238284957842222
-7614.36865234375,4864979.0,3.860684394836426,1.0,0.0,26.0,2.0000194124722457,1.9935541566563668
-7686.39404296875,4864931.0,3.803020715713501,1.0,0.0,38.0,5.858118651174174,5.857212721369151
-7678.08056640625,4864932.0,0.027252597734332085,0.0,0.0,79.0,7.948459466307891,7.948412746168649
-7680.62548828125,4864931.0,0.40840694308280945,0.0,0.0,79.0,3.7800957475874726,3.757968550928899
-7679.45703125,4864931.5,0.053394027054309845,0.0,0.0,79.0,3.1719787039450416,3.171529280356054
-7675.349609375,4864932.5,0.03720385581254959,0.0,0.0,79.0,2.122912794475162,2.122586772327346
-7676.84716796875,4864932.5,0.04226208105683327,0.0,0.0,79.0,1.359418768169116,1.3587616802644908
-7643.158203125,4864950.5,2.8446693420410156,0.0,0.0,25.0,2.2358489326057542,2.0657758627183496
-7660.56689453125,4864933.5,0.014110082760453224,0.0,0.0,79.0,5.144347151944551,5.1443278011110944
-7671.64453125,4864934.5,-0.04929932579398155,0.0,0.0,80.0,10.071268509902039,10.071147847937725
-7662.30224609375,4864935.0,-0.04499995335936546,0.0,0.0,80.0,1.2372449381420265,1.2364263185308384
-7671.5947265625,4864935.0,-0.027362270280718803,0.0,0.0,80.0,4.789231239951882,4.78915307501192
-7643.2958984375,4864921.5,0.5631537437438965,0.0,0.0,53.0,8.443491343579883,8.424690138516409
-7642.923828125,4864920.0,0.93521648645401,0.0,0.0,53.0,8.150260057839915,8.096425701127957
-7644.626953125,4864928.5,-0.13317623734474182,0.0,0.0,52.0,3.7273920912731318,3.725012200234006
-7642.49072265625,4864921.0,0.7762882709503174,0.0,0.0,52.0,1.8163983506696064,1.6421569622603782
-7637.57470703125,4864908.5,0.22808149456977844,0.0,0.0,52.0,12.664073370550918,12.662019316307005
-7637.57470703125,4864908.5,0.22808149456977844,0.0,0.0,52.0,6.495852449949307,6.491847031727352
-7637.7080078125,4864909.0,0.6477903127670288,0.0,0.0,52.0,5.96559956981025,5.93032426921205
-7651.13232421875,4864930.5,0.8766446113586426,0.0,0.0,155.0,5.222669709103292,5.148570006881612
-7610.10546875,4864981.0,0.003676849417388439,0.0,0.0,56.0,10.586776034123652,10.586775395627946
-7618.369140625,4864980.0,0.11565900593996048,0.0,0.0,57.0,4.129747428689066,4.128127519724764
-7606.0361328125,4864980.5,0.11139219999313354,0.0,0.0,57.0,2.4187189971613865,2.416152595555602
-7621.9130859375,4864978.5,0.5527015328407288,0.0,0.0,161.0,13.68806854433623,13.676905406196333
-7622.79833984375,4864978.5,0.7077953815460205,0.0,0.0,160.0,13.417289729833909,13.398607740812798
-7471.9580078125,4864865.0,0.5163418054580688,0.0,1.0,309.0,28.765951947092166,28.76131746916945
-7612.81005859375,4864979.0,3.926576852798462,1.0,0.0,26.0,7.021786308419695,7.018129800088213
-7609.58203125,4864979.5,3.866030693054199,1.0,0.0,27.0,7.757985948547675,7.756209111855296
-7608.85107421875,4864979.5,3.8166112899780273,1.0,0.0,27.0,7.722299163796815,7.721418663835465
-7611.7646484375,4864978.5,3.783817768096924,1.0,0.0,27.0,1.790643665387775,1.7886808877339235
-7601.7216796875,4864981.5,3.7431070804595947,1.0,0.0,27.0,8.177094003617244,8.176980379309182
-7601.9619140625,4864980.0,3.830033302307129,1.0,0.0,27.0,0.3074483367263941,0.27859615942602134
-7592.8955078125,4864983.5,3.791555643081665,1.0,0.0,27.0,4.117379878448968,4.116361819334683
-7636.13037109375,4864993.5,3.476229667663574,1.0,0.0,451.0,1.8133447514475018,1.7994849335207692
-7590.74365234375,4864985.0,3.6642744541168213,1.0,0.0,26.0,4.612681000095037,4.612542649559904
-7602.166015625,4864980.5,3.7749059200286865,1.0,0.0,27.0,8.387410834332588,8.387076344413726
-7610.22314453125,4864979.0,3.8238444328308105,1.0,0.0,27.0,1.9472383276302063,1.9432960816738396
-7536.2900390625,4864929.0,3.6553030014038086,1.0,1.0,105.0,9.05106053201334,9.050950167384974
-7618.31103515625,4864978.0,3.3617823123931885,1.0,0.0,161.0,3.9984642138739424,3.984134142498275
-7687.22119140625,4864929.5,4.083184719085693,1.0,0.0,39.0,2.551465765753198,2.5225279036850656
-7671.765625,4864934.5,3.3918650150299072,1.0,0.0,38.0,9.464956183193808,9.459939131982624
-7662.224609375,4864936.5,3.7199785709381104,1.0,0.0,39.0,1.9164602774670678,1.9163561390859531
